unique;id;round;agentNum;agentName;parPro;parGender;stimulus;offerAg;offerPar;accepted;age;edu;relationship;atgM;status;masculinity;0;1;2;3;4;5;Zstatus;Zmasculinity
i33r39;33;39;1;Tomek;0;0;0;5;5;1;21;3;0;0;79;85;0;-0,634917020000003;-3,747656250000010;-2,570393280000000;-0,683322660000002;-2,385903130000000;1,21130;1,76704
i33r40;33;40;2;Karolina;0;0;1;4;6;1;21;3;0;0;53;37;0;-56,364459920000000;-39,434795310000000;-37,858369630000000;-39,046330500000000;-37,915721090000000;0,17778;-1,02916
i34r1;34;1;2;Karolina;0;1;0;4;6;0;39;2;0;1;0;73;0;-1,632195049999990;1,102880740000000;1,536270380000000;1,016825280000010;-1,231242790000000;-1,92903;1,06799
i34r2;34;2;1;Tomek;1;1;0;1;9;1;39;2;0;1;40;55;0;-0,464353610000003;2,840548829999990;0,549836270000000;3,351367360000000;0,000000000000000;-0,33899;0,01942
i34r3;34;3;2;Karolina;1;1;0;1;9;0;39;2;0;1;0;73;0;0,793145549999991;-4,046239960000010;-4,301936520000010;-0,123620430000003;-1,692050220000000;-1,92903;1,06799
i34r4;34;4;1;Tomek;1;1;0;1;9;0;39;2;0;1;40;55;0;3,303483540000000;1,804063090000000;2,466788490000000;8,318750920000000;7,766643690000000;-0,33899;0,01942
i34r5;34;5;1;Tomek;1;1;0;2;8;0;39;2;0;1;40;55;0;-0,395019529999999;0,578256659999994;5,968780889999990;6,175991830000000;-0,699304519999998;-0,33899;0,01942
i34r6;34;6;2;Karolina;0;1;2;5;5;1;39;2;0;1;0;73;0;-0,383797209999997;1,043940850000000;-1,919407820000000;-3,390305900000000;-6,403538080000000;-1,92903;1,06799
i34r7;34;7;2;Karolina;1;1;0;2;8;1;39;2;0;1;0;73;0;-1,389103260000000;-4,618684120000000;-5,872476610000010;5,350487689999990;10,252904990000000;-1,92903;1,06799
i34r8;34;8;1;Tomek;0;1;0;4;6;1;39;2;0;1;40;55;0;2,522778050000000;4,571922610000000;3,328842040000000;1,907924959999990;1,907924959999990;-0,33899;0,01942
i34r9;34;9;2;Karolina;1;1;0;3;7;0;39;2;0;1;0;73;0;-1,372328120000010;-3,440069870000000;-7,928979960000010;-11,558990300000000;-6,234426840000000;-1,92903;1,06799
i34r10;34;10;1;Tomek;0;1;1;4;6;0;39;2;0;1;40;55;0;-1,507037869999990;-4,534798389999990;-3,673707940000000;0,220519809999999;-1,337977409999990;-0,33899;0,01942
i34r11;34;11;1;Tomek;1;1;0;3;7;0;39;2;0;1;40;55;0;1,207752039999990;5,777184089999990;0,512648899999988;-5,155000910000010;-4,713988340000000;-0,33899;0,01942
i34r12;34;12;2;Karolina;0;1;2;8;2;0;39;2;0;1;0;73;0;-0,888274269999997;0,000000000000000;3,118192310000000;-5,117474460000000;-7,060413420000000;-1,92903;1,06799
i34r13;34;13;2;Karolina;0;1;1;4;6;1;39;2;0;1;0;73;0;-6,315042209999990;-11,485042910000000;-10,372614660000000;-4,806171479999990;-5,179217909999990;-1,92903;1,06799
i34r14;34;14;1;Tomek;0;1;0;2;8;0;39;2;0;1;40;55;0;-1,276014379999990;-2,716590610000000;-4,576303560000000;-4,928757519999990;-0,044752639999999;-0,33899;0,01942
i34r15;34;15;2;Karolina;1;1;0;3;7;0;39;2;0;1;0;73;0;-5,729705479999990;-6,795631700000000;-7,488233529999990;-3,452076289999990;-5,204525449999990;-1,92903;1,06799
i34r16;34;16;1;Tomek;1;1;0;2;8;0;39;2;0;1;40;55;0;-0,995039939999998;-1,838367589999990;-4,831300279999990;-1,671296059999990;0,308354420000001;-0,33899;0,01942
i34r17;34;17;2;Karolina;0;1;1;4;6;1;39;2;0;1;0;73;0;-1,072066710000000;7,904117660000000;6,288132800000000;2,463594130000000;1,189499590000000;-1,92903;1,06799
i34r18;34;18;1;Tomek;1;1;0;3;7;0;39;2;0;1;40;55;0;-0,390284520000009;2,808158609999990;-0,433389640000001;-3,525391110000000;-12,452491040000000;-0,33899;0,01942
i34r19;34;19;2;Karolina;1;1;0;3;7;0;39;2;0;1;0;73;0;-2,408076380000010;-2,068925130000010;0,772955769999996;-0,637839640000010;-3,586797150000010;-1,92903;1,06799
i34r20;34;20;1;Tomek;0;1;2;8;2;0;39;2;0;1;40;55;0;-3,378589990000010;-5,745664680000000;-3,088449770000010;-8,166512370000010;-6,963488350000010;-0,33899;0,01942
i34r21;34;21;1;Tomek;1;1;0;4;6;0;39;2;0;1;40;55;0;-2,690989230000000;-5,872984920000010;-7,643221660000010;-8,274618030000000;-8,966376090000010;-0,33899;0,01942
i34r22;34;22;2;Karolina;1;1;0;4;6;1;39;2;0;1;0;73;0;-0,837752070000008;-5,592151890000000;-6,731352340000000;-5,290776110000000;-3,925092220000000;-1,92903;1,06799
i34r23;34;23;2;Karolina;0;1;2;4;6;1;39;2;0;1;0;73;0;-0,368699840000005;-3,706094960000000;-4,653255550000010;-0,814114300000000;-1,094617520000000;-1,92903;1,06799
i34r24;34;24;1;Tomek;1;1;0;4;6;0;39;2;0;1;40;55;0;-2,647226040000010;-5,460168170000000;2,816388780000000;-0,455411740000002;-3,711347940000010;-0,33899;0,01942
i34r25;34;25;2;Karolina;0;1;2;4;6;1;39;2;0;1;0;73;0;4,577655870000000;4,935403730000000;4,736197500000000;3,950704000000000;9,811145380000000;-1,92903;1,06799
i34r26;34;26;1;Tomek;0;1;2;4;6;1;39;2;0;1;40;55;0;-0,773041169999999;-2,011790580000000;-6,765862190000010;-3,710688530000000;-0,274688380000001;-0,33899;0,01942
i34r27;34;27;1;Tomek;0;1;2;4;6;1;39;2;0;1;40;55;0;2,729667590000010;4,433252940000000;-1,510631579999990;-8,026018600000000;-9,467689400000000;-0,33899;0,01942
i34r28;34;28;2;Karolina;0;1;1;4;6;1;39;2;0;1;0;73;0;-2,817262129999990;-6,547518009999990;-4,185361280000000;-3,306289580000000;-5,576970390000000;-1,92903;1,06799
i34r29;34;29;2;Karolina;0;1;2;4;6;1;39;2;0;1;0;73;0;-0,355697719999995;1,419008090000010;-0,824299300000007;1,460408730000000;-0,551728490000002;-1,92903;1,06799
i34r30;34;30;1;Tomek;0;1;1;4;6;0;39;2;0;1;40;55;0;-3,737703800000010;-6,442645970000010;-5,913013010000010;-0,436243940000011;0,119937869999987;-0,33899;0,01942
i34r31;34;31;2;Karolina;0;1;0;2;8;1;39;2;0;1;0;73;0;-1,214775450000000;-0,842379480000005;2,775141290000000;10,927712470000000;14,072679100000000;-1,92903;1,06799
i34r32;34;32;1;Tomek;0;1;2;4;6;0;39;2;0;1;40;55;0;1,254644599999990;-3,572357190000010;-10,746779020000000;-15,109525070000000;-10,781671160000000;-0,33899;0,01942
i34r33;34;33;2;Karolina;1;1;0;3;7;0;39;2;0;1;0;73;0;2,192387380000000;5,385269589999990;4,261239940000000;2,491003199999990;5,466963510000000;-1,92903;1,06799
i34r34;34;34;1;Tomek;1;1;0;3;7;0;39;2;0;1;40;55;0;-0,654492679999990;5,638917790000010;-0,116417450000000;3,429200110000010;-0,958168289999989;-0,33899;0,01942
