met	nar	plec	zamiesz	wiek	zwiaz	ksiaz	dem.p	dem.n	ak.n	ak.p	fzk	gt.t	gt.c	gtr	hdf	fwc	ssup	z	fzp	cai	ag.s	ag.w	h	fch	asi.b	asi.h	asi	pobyt_mes	delikatnosc	spraw_wspolnotowa	przebojowosc	czynnik_3elem	sprawczosc_bez_agresji
papier	polska	m??czyzna	Norwegia	 	 	3	0	0	0	300	72	71	5	54	3,33333E+12	 	32	43	75	44	6	30	49	4	42	49	74	17	5	48	75	55	75
papier	polska	kobieta	Norwegia	 	 	52	52	600	86	75	28	87	75	92	6,66667E+12	 	57	75	41	8	0	 	 	60	6	50	87	5	25	38	50	5	25
papier	polska	m??czyzna	Norwegia	 	 	100	100	400	60	5	12	51	4,28571E+12	84	6,66667E+12	58	6,66667E+12	55	8	51	2	84	100	12	75	50	75	0	87	3,33333E+12	75	1,42857E+12	76
papier	polska	kobieta	Norwegia	 	 	100	100	100	87	5	12	5	86	84	6,66667E+12	52	34	75	57	6	0	54	73	8	85	3,33333E+12	71	25	25	54	75	75	12
papier	polska	m??czyzna	Norwegia	 	 	0	0	100	100	50	5	93	70	6,66667E+12	 	76	58	43	59	4	62	4	53	70	5	36	75	43	75	61	25	0	70
papier	polska	kobieta	Norwegia	 	 	6	3	0	0	300	25	25	51	25	85	 	87	0	87	75	13	4	6	61	4	40	6	50	100	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	3	0	0	500	49	36	68	75	84	 	3,33333E+12	100	68	625	53	4	16	2	42	53	8	100	70	5	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	3	0	0	400	75	72	5	93	84	6,66667E+12	6,66667E+12	0	86	75	50	0	64	8	42	4	84	3,33333E+12	100	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	1	0	0	150	81	95	58	1,42857E+12	67	 	46	44	6	19	4	33	4	 	 	0	100	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	2	0	0	100	54	72	48	8,57143E+12	32	 	5	26	12	6	100	50	6	83	6,66667E+12	100	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	0	0	 	 	25	62	5	53	3,33333E+12	6,66667E+12	5	100	40	625	16	8	0	49	4	49	8	48	6,66667E+12	75	75	 
papier	polska	kobieta	Norwegia	 	 	4	2	73	62	200	72	50	25	59	8,57143E+12	82	62	44	58	25	57	125	60	4	57	64	63	2	62	60	75	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	3	81	69	300	57	25	64	75	21	3,33333E+12	68	62	75	 	 	67	70	67	52	6	52	6,66667E+12	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	100	56	 	 	25	58	74	86	63	82	8	73	4	57	8	77	6,66667E+12	63	36	33	44	13	75	73	8,33333E+12	54
